loyalty_id,passenger_id,tier_level,points_balance,status
TC-488848,0da1de04-9c28-4a6f-88b8-54eb3e902b59,Tabua Club / Oneworld Ruby,42963,Active
TC-738613,6ed37586-13b4-40c5-ad3a-1d0d903a0c3a,Tabua Club / Oneworld Ruby,20794,Active
TC-859687,b5bcdb4e-c856-483c-96f1-3a871cbf596a,Elite (Tabua Plus / Oneworld Sapphire/Emerald),202497,Active
TC-520106,4f05b1be-eeec-4220-82c6-dea8b70a6e34,Tabua Club / Oneworld Ruby,322894,Active
TC-788049,a871fe88-cf8c-44b3-b5b2-f5155c05cccd,Elite (Tabua Plus / Oneworld Sapphire/Emerald),274156,Active
TC-400384,6e8c385a-3ce2-4a9e-9a69-113c1f6da7cb,Tabua Club / Oneworld Ruby,374086,Active
TC-726495,07721865-a2e2-4654-976f-161e09ea835d,Tabua Club / Oneworld Ruby,31127,Active
TC-911187,39d4a368-a8e9-49b7-8bf4-6bb87f4345f0,Tabua Club / Oneworld Ruby,431036,Active
TC-283785,ce72508f-cfd5-4e29-ab70-6c82146ef9ce,Elite (Tabua Plus / Oneworld Sapphire/Emerald),336697,Active
TC-618382,77a2adde-6f5a-472f-a93b-1a9a6f54d3dd,Tabua Club / Oneworld Ruby,231147,Active
TC-111230,ac25efe6-80cb-4226-abb9-5c27e37a69a5,Elite (Tabua Plus / Oneworld Sapphire/Emerald),106752,Active
TC-991884,bd6f08ee-c188-4c39-aedc-00bde2dbbdaf,Elite (Tabua Plus / Oneworld Sapphire/Emerald),345396,Active
TC-942960,e0972d8e-18c0-40f5-a302-a31bf91e9a1d,Elite (Tabua Plus / Oneworld Sapphire/Emerald),272661,Active
TC-399899,04f99211-bf88-467b-9fd5-8a52fcd1cafb,Tabua Club / Oneworld Ruby,103103,Active
TC-135241,17686fd8-32f1-480f-aef2-9aeb37427fd7,Tabua Club / Oneworld Ruby,412020,Active
TC-728636,9add5519-7a56-4f27-9b38-a7bfaf870b40,Tabua Club / Oneworld Ruby,268674,Active
TC-640869,f3407479-04f1-485c-ab5d-a939416fae7b,Elite (Tabua Plus / Oneworld Sapphire/Emerald),367188,Active
TC-342924,49cc8c89-69fe-4088-93cc-60a763ae7c6f,Tabua Club / Oneworld Ruby,323536,Active
TC-277715,c7a68205-aec2-4378-a728-fbaa8edc386a,Tabua Club / Oneworld Ruby,354382,Active
TC-137812,f41a0fc1-5971-4872-8e5f-83dfa9bcb11a,Tabua Club / Oneworld Ruby,189607,Active
TC-350878,6ae912d3-0ddb-46d9-84c1-733206157036,Tabua Club / Oneworld Ruby,344418,Active
TC-100301,ec00ff71-ee80-4845-a2d8-f898762b8020,Tabua Club / Oneworld Ruby,83546,Active
TC-191061,f9c41da4-9783-49f7-b8a8-fc14b12162e2,Elite (Tabua Plus / Oneworld Sapphire/Emerald),145670,Active
TC-917546,0a520f17-c7e9-41fb-8dff-3150b9d8ba85,Tabua Club / Oneworld Ruby,210418,Active
TC-470281,6864d94a-275d-498e-a3a3-c9c0762eecf0,Tabua Club / Oneworld Ruby,352095,Active
TC-514337,26972751-1227-48aa-a658-e280683120c6,Elite (Tabua Plus / Oneworld Sapphire/Emerald),213573,Active
TC-714549,2e2cf6b7-e124-4ee3-8859-c3fb6ac7cb01,Tabua Club / Oneworld Ruby,106020,Active
TC-642892,556829b7-612a-4381-9597-fb4fb7294825,Tabua Club / Oneworld Ruby,9056,Active
TC-872722,d1dd8fa5-d6b8-4ce5-94cf-bdd236c11c24,Tabua Club / Oneworld Ruby,369900,Active
TC-171950,f3a10cd5-6812-4e99-991e-ce96245937df,Tabua Club / Oneworld Ruby,482913,Active
TC-194545,ec680ecc-4491-4573-970f-dd3d42fe64b3,Tabua Club / Oneworld Ruby,289144,Active
TC-398313,9d256205-8ae1-445c-a7e9-88f507c39c68,Tabua Club / Oneworld Ruby,381705,Active
TC-970071,615b0209-323f-42f4-a822-e68548e4e556,Elite (Tabua Plus / Oneworld Sapphire/Emerald),294136,Active
TC-711248,3353559c-dfbb-432c-b7d7-8849ff5b4577,Tabua Club / Oneworld Ruby,183502,Active
TC-464354,cd35a7e0-08c1-4af7-ae8d-4d77a43d8cdb,Tabua Club / Oneworld Ruby,428564,Active
TC-389939,4ead2938-9226-4552-918f-4aaaf6bb931f,Tabua Club / Oneworld Ruby,119644,Active
TC-735818,8d25aa5a-ad70-4f87-9f37-9c222ac57c7a,Tabua Club / Oneworld Ruby,102987,Active
TC-576849,cdadc81f-89a5-41a8-bf93-872c5ba72844,Elite (Tabua Plus / Oneworld Sapphire/Emerald),488437,Active
TC-523579,fcff285c-0f2e-43fa-8a93-1869a6be0dce,Tabua Club / Oneworld Ruby,302416,Active
TC-104877,9f668b77-fee1-4559-bbaa-855313296e3f,Tabua Club / Oneworld Ruby,137895,Active
TC-283537,85dd96dc-95a6-4bb1-9b28-460426db80cd,Elite (Tabua Plus / Oneworld Sapphire/Emerald),214455,Active
TC-630829,c981244c-ead5-45bb-a19f-f61d051c8fe1,Tabua Club / Oneworld Ruby,56818,Active
TC-685766,cf6341ea-aaab-48d1-990c-92bd6ce74f9a,Elite (Tabua Plus / Oneworld Sapphire/Emerald),38951,Active
TC-627611,cb6cb8a3-1306-46a9-95af-a84d6270a5ea,Tabua Club / Oneworld Ruby,155272,Active
TC-456480,1636ae07-08f7-4f00-9346-bc9d3487e98c,Tabua Club / Oneworld Ruby,497508,Active
TC-222692,c5247f55-ad28-4f84-a0c1-2bd4db3e1a9d,Elite (Tabua Plus / Oneworld Sapphire/Emerald),421972,Active
TC-638220,1127255b-50dd-4376-b483-7216cce64ec5,Tabua Club / Oneworld Ruby,136105,Active
TC-664032,4a9afa76-a0b7-4318-aae7-cea3973abdff,Tabua Club / Oneworld Ruby,427323,Active
TC-931928,8ab70605-a5bd-46e3-ba3c-27181870f233,Tabua Club / Oneworld Ruby,302409,Active
TC-362292,20106d53-342b-4b2b-ae23-f332c124b050,Tabua Club / Oneworld Ruby,364956,Active
TC-564276,fd46fe68-e177-4e59-bc5c-1e8e7a842f19,Tabua Club / Oneworld Ruby,198698,Active
TC-690525,c4e544bd-df17-46f7-92d6-76c576d23cee,Elite (Tabua Plus / Oneworld Sapphire/Emerald),254561,Active
TC-907369,037125c3-71cb-4776-b6e3-8428018670c0,Tabua Club / Oneworld Ruby,128545,Active
TC-894268,8cab5aff-d7d6-43d9-842f-477175e88522,Tabua Club / Oneworld Ruby,179080,Active
TC-913274,7e1abc16-75f8-42b6-b744-529497100e23,Tabua Club / Oneworld Ruby,241568,Active
TC-814703,47a760a8-e6a1-4ccb-a156-6939c2d6bdfc,Tabua Club / Oneworld Ruby,242550,Active
TC-715332,868f965a-e0fc-48a7-9b0a-6ef26b02ad2b,Tabua Club / Oneworld Ruby,452948,Active
TC-128679,6feb9895-7244-4d80-b4d2-a25783874925,Elite (Tabua Plus / Oneworld Sapphire/Emerald),253691,Active
TC-221916,5c6c7f42-a076-41ae-8b74-a546240ad573,Tabua Club / Oneworld Ruby,136171,Active
TC-170835,add53418-0881-4c11-89f0-1d72792772d3,Elite (Tabua Plus / Oneworld Sapphire/Emerald),201630,Active
TC-764442,d799d952-ca75-4617-966b-4075280d5d6d,Tabua Club / Oneworld Ruby,414482,Active
TC-331087,ef2fb458-2661-46cf-a47b-cbd784c97489,Tabua Club / Oneworld Ruby,355897,Active
TC-835236,0f429d6c-9567-4383-9e83-80cf296bc7a5,Tabua Club / Oneworld Ruby,121549,Active
TC-939030,66232918-0ab1-491c-a1f0-f7af7b362006,Tabua Club / Oneworld Ruby,166533,Active
TC-532459,80c24b66-f2a3-4806-90ab-c9333bc022d2,Tabua Club / Oneworld Ruby,186124,Active
TC-641593,ba405311-f555-499b-90bc-c85ebb015773,Elite (Tabua Plus / Oneworld Sapphire/Emerald),281835,Active
TC-110195,8f2f74c2-ab6c-473f-a4ef-cc799920ef4e,Elite (Tabua Plus / Oneworld Sapphire/Emerald),368430,Active
TC-972600,3aa6b440-5d7f-4c8b-a2e7-979ba1a9d722,Tabua Club / Oneworld Ruby,139071,Active
TC-360316,31205e10-766b-4b15-b14f-9ec5f3df601d,Elite (Tabua Plus / Oneworld Sapphire/Emerald),151622,Active
TC-197527,98b03da2-b396-41e8-95d8-7a31c373460f,Elite (Tabua Plus / Oneworld Sapphire/Emerald),210154,Active
TC-806423,82d6c2eb-4733-4ebf-9550-c1643ea0fcbb,Tabua Club / Oneworld Ruby,393580,Active
TC-960959,d3812fd4-2239-477e-8b51-beeab77402bb,Tabua Club / Oneworld Ruby,180302,Active
TC-179721,eb9fa681-706f-488f-9dbe-1f51c6e31ea6,Elite (Tabua Plus / Oneworld Sapphire/Emerald),291744,Active
TC-287155,e749bc03-425b-4014-ad53-ae97bdf14c7b,Elite (Tabua Plus / Oneworld Sapphire/Emerald),250852,Active
TC-429119,24686210-ad0f-4904-a7b8-b2bf6812c1a8,Tabua Club / Oneworld Ruby,186355,Active
TC-329183,e1f68b80-41aa-4a8e-a729-72f93a97999d,Elite (Tabua Plus / Oneworld Sapphire/Emerald),469879,Active
TC-701581,afa10a48-fade-4c6b-850c-9a48006efbd7,Tabua Club / Oneworld Ruby,142073,Active
TC-291663,f8e43743-03a4-4bf7-8b5d-a59a0ebf4723,Tabua Club / Oneworld Ruby,497562,Active
TC-882401,06a698cd-d69d-407f-96fe-e357fcf5c450,Tabua Club / Oneworld Ruby,359144,Active
TC-299405,ad73d841-2565-46bb-aa33-3b457105da4f,Elite (Tabua Plus / Oneworld Sapphire/Emerald),262619,Active
TC-872918,d955e24b-deda-4b2d-b981-277532bc96cd,Elite (Tabua Plus / Oneworld Sapphire/Emerald),105682,Active
TC-346269,9317c8f1-5a60-404e-9e93-f752ab82bf29,Tabua Club / Oneworld Ruby,386576,Active
TC-353814,83998721-ad0d-4a5b-8e4d-bfbbcd48cdc8,Tabua Club / Oneworld Ruby,458568,Active
TC-378297,b83e59db-8dc4-4d40-b9c3-6ea0e8a03bee,Tabua Club / Oneworld Ruby,109411,Active
TC-340341,e36f1bd1-e8c2-4182-9562-ac8c682fa438,Elite (Tabua Plus / Oneworld Sapphire/Emerald),107308,Active
TC-975498,88e23f2e-d55c-41a2-86ca-8315e858ed0f,Tabua Club / Oneworld Ruby,131912,Active
TC-976960,fc9a505e-348c-4693-a765-08cb0cfd72a8,Elite (Tabua Plus / Oneworld Sapphire/Emerald),325322,Active
TC-473321,c131c7b3-06cd-4ea9-8489-0ce5d80c0572,Tabua Club / Oneworld Ruby,82786,Active
TC-916776,7c26e2e4-04d6-4198-a71c-a3330949e19b,Tabua Club / Oneworld Ruby,56935,Active
TC-225701,0c2e4a25-0659-402d-906a-10d182195aad,Tabua Club / Oneworld Ruby,483443,Active
TC-182300,592c609b-4ad3-4c96-a2d1-54ce4bd64d5c,Elite (Tabua Plus / Oneworld Sapphire/Emerald),355320,Active
TC-795650,bf2ac5d8-3c20-4c62-9af5-7bf3b9f1665d,Tabua Club / Oneworld Ruby,259298,Active
TC-743644,6e3ef319-a929-4af1-99a6-ea6051e35ab7,Tabua Club / Oneworld Ruby,4472,Active
TC-901368,234d25b3-f529-43f0-96c1-5a898664204b,Elite (Tabua Plus / Oneworld Sapphire/Emerald),450361,Active
TC-667776,5466ab83-f8d0-431a-ad4b-1a2d96707e22,Elite (Tabua Plus / Oneworld Sapphire/Emerald),23158,Active
TC-989203,61b30bd5-42e7-49f1-91f7-de8971960445,Tabua Club / Oneworld Ruby,253859,Active
TC-489227,53ec5536-37f3-4241-9df1-5edce687b0a0,Tabua Club / Oneworld Ruby,326408,Active
TC-430738,fa0dce9e-8ef5-49c5-be6e-91fa61462f94,Elite (Tabua Plus / Oneworld Sapphire/Emerald),259128,Active
TC-702427,bce0bdfe-ed62-4d5b-b3f4-267e12bd4099,Tabua Club / Oneworld Ruby,456485,Active
TC-388078,517033eb-eaa2-4312-8dc0-4740bd1865b8,Elite (Tabua Plus / Oneworld Sapphire/Emerald),258323,Active
TC-291755,12431781-0b6c-4604-bfc4-d0dc30dcfda2,Elite (Tabua Plus / Oneworld Sapphire/Emerald),401693,Active
TC-635962,2f17f390-18e5-4bf8-bc53-104086a0b246,Tabua Club / Oneworld Ruby,147940,Active
TC-517206,bfcac2d4-6165-4772-823a-c154e5e86916,Tabua Club / Oneworld Ruby,117440,Active
TC-886609,8e32a914-8195-4d65-a9a2-4e04cec04fa6,Tabua Club / Oneworld Ruby,303338,Active
TC-234475,471f27eb-8124-4310-881e-be69e313e069,Tabua Club / Oneworld Ruby,29389,Active
TC-651273,2a4836f3-5897-4f31-9bd4-3bbdc92ef931,Tabua Club / Oneworld Ruby,420047,Active
TC-543732,076246db-a126-4c05-921d-0e19664eefd8,Tabua Club / Oneworld Ruby,251777,Active
TC-667036,b3be3eff-0523-4a09-8bca-9fde8b31c3b3,Tabua Club / Oneworld Ruby,18072,Active
TC-626883,425aa493-2c56-4736-8129-aa34ed0437f2,Elite (Tabua Plus / Oneworld Sapphire/Emerald),183079,Active
TC-512842,5a25ec27-d612-4cac-b69e-7f4489e7d065,Tabua Club / Oneworld Ruby,452097,Active
TC-819678,f2ec090f-3909-4d0b-9a64-691eec6c75e7,Elite (Tabua Plus / Oneworld Sapphire/Emerald),407797,Active
TC-283291,0e8bc845-a2c7-4398-af64-e0cdbc0a8a0d,Tabua Club / Oneworld Ruby,240702,Active
TC-226215,c66873c1-573c-475b-afcb-a289e0233e19,Elite (Tabua Plus / Oneworld Sapphire/Emerald),367081,Active
TC-643377,01b987a6-f60d-4a21-875f-7ed879a8c30a,Elite (Tabua Plus / Oneworld Sapphire/Emerald),242209,Active
TC-430984,e0ecd69d-016b-4760-a0f6-9bdee41c3f34,Elite (Tabua Plus / Oneworld Sapphire/Emerald),362344,Active
TC-108827,1cb9bfbf-cc66-4962-8c30-6d4f929f127b,Tabua Club / Oneworld Ruby,7197,Active
TC-806848,0b60bc11-2436-4b11-8268-94aa5a8896d5,Tabua Club / Oneworld Ruby,111494,Active
TC-497859,5f580de1-b946-46e6-816b-19cf6401aaed,Tabua Club / Oneworld Ruby,305615,Active
TC-205641,1fb94c7f-483c-408a-a121-05b2a85ef973,Elite (Tabua Plus / Oneworld Sapphire/Emerald),171622,Active
TC-479167,831b0c7b-a845-439d-bc76-f560470f6013,Elite (Tabua Plus / Oneworld Sapphire/Emerald),322272,Active
TC-372315,bf0e6092-58b0-499d-80d6-c4af1446d1c0,Elite (Tabua Plus / Oneworld Sapphire/Emerald),99121,Active
TC-675210,f2f0d35a-a3a6-45ea-90e7-ad4defb10092,Tabua Club / Oneworld Ruby,138808,Active
TC-348658,27e4adfa-f39f-46ac-b9c3-5574598b46e0,Elite (Tabua Plus / Oneworld Sapphire/Emerald),142247,Active
TC-594241,0e3bea84-8f6b-47e2-930f-02b273200bdc,Tabua Club / Oneworld Ruby,322432,Active
TC-459762,4cfba5db-5882-46aa-a4b7-895b272fb48f,Tabua Club / Oneworld Ruby,192849,Active
TC-292847,6d2f8f2e-a1ea-43dc-a352-ba119bd4e4f9,Elite (Tabua Plus / Oneworld Sapphire/Emerald),262499,Active
TC-544536,85fb0813-69f0-4d05-812f-bf9ee2a8578d,Elite (Tabua Plus / Oneworld Sapphire/Emerald),111379,Active
TC-539450,9ddbc858-9dde-440e-b1b6-28b0e1e6332c,Tabua Club / Oneworld Ruby,368375,Active
TC-888734,34bdc01d-3607-473f-b75f-13b1697a61e2,Tabua Club / Oneworld Ruby,196197,Active
TC-482812,44959d37-f539-4121-9968-0f757e31294c,Tabua Club / Oneworld Ruby,448912,Active
TC-520051,d6448a39-b755-4e85-b971-586d11d2e6fb,Elite (Tabua Plus / Oneworld Sapphire/Emerald),147606,Active
TC-572623,d154ab5f-269f-40a7-9e1e-6db1b12d7c59,Tabua Club / Oneworld Ruby,95313,Active
TC-699166,896b4713-450d-448f-83bd-b8f4c9cd8126,Tabua Club / Oneworld Ruby,69754,Active
TC-703867,f869559e-393f-420f-b30b-8710546877c3,Tabua Club / Oneworld Ruby,360667,Active
TC-339669,23b21074-c0d4-40de-a818-acdf4e7d7404,Tabua Club / Oneworld Ruby,427870,Active
TC-204721,072b8ef8-4c3d-4f88-a386-7c174cb730d4,Tabua Club / Oneworld Ruby,378914,Active
TC-383062,13768cc7-56b4-4ccb-831c-79f258c8c588,Tabua Club / Oneworld Ruby,422573,Active
TC-347259,300dcf1a-9b27-4e2d-90e4-88c050e22a1c,Elite (Tabua Plus / Oneworld Sapphire/Emerald),292158,Active
TC-553214,c9756d74-3bff-4012-8e2b-695373e3a1fc,Elite (Tabua Plus / Oneworld Sapphire/Emerald),449952,Active
TC-499385,b1e15779-8141-428e-8f17-22a63f8d6d2c,Tabua Club / Oneworld Ruby,103793,Active
TC-252928,06dbba06-ba85-4ad0-bb15-71a44285ffb8,Elite (Tabua Plus / Oneworld Sapphire/Emerald),420450,Active
TC-874417,19bf8839-6b8e-415e-a586-cc262bffac95,Tabua Club / Oneworld Ruby,79406,Active
TC-595962,d58d5e3d-d1a1-42e9-bdd7-69f9133730e2,Tabua Club / Oneworld Ruby,423402,Active
TC-110215,07d30784-0333-4f47-b479-00315e1f077e,Elite (Tabua Plus / Oneworld Sapphire/Emerald),93593,Active
TC-541996,04d3ec96-30c6-438b-b960-110324e19551,Elite (Tabua Plus / Oneworld Sapphire/Emerald),262933,Active
TC-241003,1c31d0fc-1018-42df-922c-65fbc2fd8f73,Tabua Club / Oneworld Ruby,469330,Active
TC-990649,fc0d1d26-09b8-40c0-b46e-ba69dad8cbe3,Elite (Tabua Plus / Oneworld Sapphire/Emerald),331643,Active
TC-642121,0c7ad7db-f78f-4457-97f4-a870b18e9a71,Elite (Tabua Plus / Oneworld Sapphire/Emerald),280960,Active
TC-855562,bbb62ea7-a8c0-4751-b5c1-7fcf4d2b7c39,Elite (Tabua Plus / Oneworld Sapphire/Emerald),166532,Active
TC-923481,0f6ae93a-d3dd-4337-87b5-7733c4038c6f,Elite (Tabua Plus / Oneworld Sapphire/Emerald),256129,Active
TC-414608,59a606b0-4fd3-4278-8dde-f27a7e3f8ec7,Tabua Club / Oneworld Ruby,132582,Active
TC-689444,54562361-0034-45f2-9584-b5f09a77e78d,Tabua Club / Oneworld Ruby,451102,Active
TC-695417,87abd72e-b6b3-4265-b44a-672e84cde5f0,Elite (Tabua Plus / Oneworld Sapphire/Emerald),26013,Active
TC-517754,37792de7-0559-421e-85c2-4323accae232,Tabua Club / Oneworld Ruby,52891,Active
TC-824087,f733a0e6-3f8f-4a8d-9212-b58d03df82b1,Tabua Club / Oneworld Ruby,86638,Active
TC-162952,d6dc7a01-a4b6-4ebf-bafe-0981b357d607,Tabua Club / Oneworld Ruby,113966,Active
TC-953350,19b70312-12b1-4de6-9edc-f98195db3538,Tabua Club / Oneworld Ruby,134321,Active
TC-599687,8f043550-e2de-4513-9dd1-2c65eb9efc18,Tabua Club / Oneworld Ruby,440862,Active
TC-760458,8d862a08-50bd-4ca0-b821-f904d45d15ce,Elite (Tabua Plus / Oneworld Sapphire/Emerald),51489,Active
TC-571706,9dff53c9-9d2e-4503-b6ca-52cc5a3d499c,Tabua Club / Oneworld Ruby,391381,Active
TC-450912,4b56f1b8-2d56-45c3-9028-699f49e458c3,Tabua Club / Oneworld Ruby,137193,Active
TC-478496,68b9837a-b94d-4328-b1bb-0142d318b629,Tabua Club / Oneworld Ruby,189904,Active
TC-687569,da17c845-a541-4360-9f36-890549156160,Tabua Club / Oneworld Ruby,293286,Active
TC-949363,79529689-cf5e-4c32-8d84-451779a6923d,Elite (Tabua Plus / Oneworld Sapphire/Emerald),136116,Active
TC-460857,9bdfe575-cf7a-4400-9b62-101d0cb5458b,Tabua Club / Oneworld Ruby,11399,Active
TC-531762,998afada-a675-4fbf-8a33-103723c89027,Elite (Tabua Plus / Oneworld Sapphire/Emerald),64563,Active
TC-468145,98865f33-2737-4196-9438-10ad2005e17c,Elite (Tabua Plus / Oneworld Sapphire/Emerald),455750,Active
TC-812597,af284e2f-648c-4afd-9c53-06bbe92ee8c2,Tabua Club / Oneworld Ruby,318496,Active
TC-308622,12de1279-246e-46c6-a37e-87ff09218a79,Elite (Tabua Plus / Oneworld Sapphire/Emerald),303437,Active
TC-703869,e10e1920-b499-470d-89e5-02e0a4c8de3a,Tabua Club / Oneworld Ruby,341716,Active
TC-780663,cf644492-9d21-40fe-8cc0-8c3790f3d7ed,Elite (Tabua Plus / Oneworld Sapphire/Emerald),283296,Active
TC-283017,c0716639-08ca-4c2d-8195-d5505224e069,Tabua Club / Oneworld Ruby,410106,Active
TC-398433,c81658ed-a4be-40f2-8ab4-886bf3396b8a,Elite (Tabua Plus / Oneworld Sapphire/Emerald),187179,Active
TC-440881,bea012fa-c3f5-4f19-a5a6-80ad4c82e060,Tabua Club / Oneworld Ruby,353946,Active
TC-635239,03b7bd30-76bf-4b1b-9827-c552d5338f88,Tabua Club / Oneworld Ruby,256587,Active
TC-912378,6d4fcc55-34f5-4bdb-ae4a-e44e53109161,Tabua Club / Oneworld Ruby,387151,Active
TC-568640,c5e8f7dd-18d9-4577-9c5b-7c538c5c2a9d,Elite (Tabua Plus / Oneworld Sapphire/Emerald),467423,Active
TC-182216,06ff678a-a2b2-4432-a5ef-d00f33a3a979,Tabua Club / Oneworld Ruby,200790,Active
TC-743473,43ab0905-a4dd-4438-bb9b-7ede12de9c7f,Tabua Club / Oneworld Ruby,151220,Active
TC-586279,93b508b6-d4a3-4499-b2d5-edc7a91903e7,Elite (Tabua Plus / Oneworld Sapphire/Emerald),332199,Active
TC-251884,7078ba7a-0599-491b-a48f-3d4eb45cb756,Elite (Tabua Plus / Oneworld Sapphire/Emerald),456217,Active
TC-275715,9ab3394f-48f1-4e46-9a83-a5e096b5a850,Tabua Club / Oneworld Ruby,336848,Active
TC-946952,b9a318bb-de9d-4ebf-b05c-be44df766e32,Tabua Club / Oneworld Ruby,487836,Active
TC-453777,044abac1-1cf6-4a82-a678-8ee636896d71,Elite (Tabua Plus / Oneworld Sapphire/Emerald),222153,Active
TC-761938,adcad19a-49e6-4a80-8d85-421dd9eb36f4,Elite (Tabua Plus / Oneworld Sapphire/Emerald),322026,Active
TC-699405,19986b5c-6dd5-4c27-a705-64bc97415632,Tabua Club / Oneworld Ruby,213217,Active
TC-990136,334c2370-b685-4900-b3f3-b1f675d7ad8d,Tabua Club / Oneworld Ruby,476567,Active
TC-174809,ca7c33ed-289a-4318-8c84-105a2b8478fc,Elite (Tabua Plus / Oneworld Sapphire/Emerald),42477,Active
TC-269868,7e6859b3-470a-4b35-bf6a-6c5e30ef6cb8,Tabua Club / Oneworld Ruby,181158,Active
TC-339303,c17609b2-aa19-4756-b0e3-124e6927b952,Tabua Club / Oneworld Ruby,165354,Active
TC-432270,dccb4f72-3b0d-47e1-a46d-d67295fb1a4d,Elite (Tabua Plus / Oneworld Sapphire/Emerald),343366,Active
TC-405509,0c9474fc-f206-49d4-ad37-f87d71086f5f,Tabua Club / Oneworld Ruby,373471,Active
TC-380465,f6d89f68-ce01-4ad0-888f-b426a3f603be,Tabua Club / Oneworld Ruby,318396,Active
TC-775958,18c8c4ab-0ccb-4c7c-aa39-7f1a06352d5c,Elite (Tabua Plus / Oneworld Sapphire/Emerald),208332,Active
